Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Year,Pref
A13,0.05472312703583062,0.0851581508515815,0.43285024154589374,0.14621409921671016,0.10840818730672949,0.2767833491012299,0.006815909230047141,0.19519192309283756,0.058038772951148156,0.8319327731092436,0.495016611295681,2017,0.25710312076964376
A14,1.0,1.0,1.0,0.0,1.0,0.2490823084200568,0.8829153317143849,1.0,0.1215974559290556,0.9887955182072827,1.0,2017,0.7790965505908185
A15,0.08664495114006515,0.15450121654501214,0.3690821256038647,1.0,0.06370195847445148,0.2658467360454116,0.23950574454625229,0.012054673599713111,0.051952939283862416,0.8991596638655461,0.37375415282392027,2017,0.34331592659332005
A16,0.052117263843648204,0.08637469586374695,0.336231884057971,0.5045691906005222,0.17777941393020175,0.229593188268685,0.2781360324878069,0.1976883715156614,0.037450068729558895,0.5966386554621849,0.41196013289036537,2017,0.2867071600999695
A17,0.041693811074918555,0.10583941605839417,0.4067632850241546,0.162532637075718,0.48319835075835665,0.07012298959318827,0.4847356284309124,0.6735169579189827,0.08474347428279233,0.7507002801120448,0.4186046511627907,2017,0.3854778371976566
A18,0.03387622149837135,0.0851581508515815,0.30917874396135264,0.1573107049608355,0.29221027830952734,0.1469441816461684,0.11642144358508663,0.5619767457898294,0.04465194977930415,0.21288515406162467,0.12458471760797342,2017,0.21432244865725963
A19,0.3602605863192182,0.708029197080292,0.6772946859903382,0.6142297650130548,0.0,0.22936613055818356,0.012346182886762034,0.023447305628732606,0.010731003853738907,0.969187675070028,0.27076411960132885,2017,0.35339975040085053
A20,0.0045602605863192215,0.015815085158150863,0.0,0.08289817232375979,0.015093506111029296,0.2425354777672659,0.0,0.18708191385184061,0.0,0.8459383753501399,0.8023255813953488,2017,0.20960318839983186
A21,0.13876221498371333,0.21167883211678834,0.3545893719806763,0.3603133159268929,0.004609041378294811,0.20529801324503316,0.07108748443972819,0.0,0.07346378304153793,0.9551820728291316,0.22757475083056483,2017,0.24963710297329947
A22,0.22605863192182407,0.2992700729927007,0.6434782608695652,0.6220626631853786,0.9400971874539833,0.7118637653736991,1.0,0.3684537191564487,1.0,1.0,0.35714285714285715,2017,0.6804408490183242
A23,0.06188925081433224,0.08272506082725062,0.3217391304347826,0.1377284595300261,0.07163893388308057,0.14437086092715234,0.06363896087994614,0.12453277795401572,0.09305134823407409,0.8543417366946778,0.29734219269102996,2017,0.22111126161103833
A24,0.035830618892508145,0.05109489051094892,0.07439613526570048,0.32441253263707576,0.35954940362244153,0.2837086092715232,0.4828581923555701,0.4864902141980332,0.03603382327382518,0.45098039215686275,0.318936877076412,2017,0.3022655101278359
A25,0.0,0.0,0.1932367149758454,0.17362924281984332,0.2688852893535562,0.2323935666982025,0.3583454074240353,0.2873122491483111,0.11455931928291443,0.7058823529411764,0.32558139534883734,2017,0.27318885809206067
A26,0.08534201954397395,0.1046228710462287,0.18647342995169083,0.16579634464751955,0.07761743484022972,0.2472280037842952,0.1479297185886579,0.05637008123801773,0.054878793232472536,0.9019607843137255,0.45182724252491696,2017,0.2401580450722782
A27,0.1042345276872964,0.14720194647201945,0.3526570048309179,0.22911227154046998,0.2277131497570314,0.08151371807000947,0.2610044283003081,0.3984524778285037,0.0750969180143262,0.9131652661064426,0.2724252491694353,2017,0.3142705733208226
A28,0.06644951140065147,0.07664233576642336,0.11014492753623188,0.3988250652741514,0.16085996171403327,0.2036329233680227,0.3022263943023897,0.1442009296167055,0.041911385550561835,0.7983193277310924,0.3903654485049834,2017,0.2715131861806377
A29,0.19218241042345277,0.24452554744525548,0.5507246376811594,0.3988250652741514,0.6949786482108673,1.0,0.6026569801848866,0.7981738686675034,0.10972885937659346,0.9635854341736694,0.6079734219269104,2017,0.6063789049237281
A30,0.06644951140065147,0.10097323600973236,0.3497584541062802,0.5985639686684073,0.05395376233249888,0.1671523178807947,0.2131094014652164,0.016661379529122923,0.09692088703503413,0.8571428571428571,0.4003322259136214,2017,0.2839276135295791
A1,0.11718275652701884,0.22196796338672772,0.4376012965964344,0.46338535414165677,0.37819401252525836,0.2710407907354135,0.6707221112523455,0.3797042919676375,0.051045250228428096,0.9786585365853657,0.29913043478260853,2018,0.44179910249459914
