Ai,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A11,0.37719837946934853,0.37338180029046353,0.36537600216448507,0.3607479780143702,0.3366161178693417,0.32487264524014303,0.3240807955453075,0.32130570804170117,0.30709851446724606,0.3211787957380611,0.28186707610978173
A12,0.2633781787326567,0.24162943409949722,0.22304836842930456,0.22299984560476444,0.20600651621718738,0.20658973207642978,0.20611843549374853,0.2104197947632822,0.19910989074359967,0.22256859045176156,0.22036044181764736
A13,0.29337778489485167,0.2929707373387285,0.2796332070106091,0.2837092147398764,0.2648182562617087,0.26832613130277044,0.2564644261055714,0.25710312076964376,0.2325835197554818,0.24027577796682914,0.24581293600633466
A14,0.7080420751402225,0.7143255709442577,0.742158396888584,0.7531812116791476,0.7495207944136768,0.7719170273476034,0.7711281533447002,0.7790965505908185,0.7886562120762417,0.7855444539410062,0.7867935617127341
A15,0.354943309267083,0.36218664413829543,0.3326476150237399,0.33290739424321053,0.33012946982588925,0.3247753685134826,0.3481285834952052,0.34331592659332005,0.32559175336809715,0.3392092828839089,0.3336392404357531
A16,0.3543753036223407,0.3267081409624359,0.3190630219482541,0.3254105421514411,0.3057927288063252,0.2954968243040893,0.2976783965212626,0.2867071600999695,0.2614051998787182,0.2749902807728182,0.2601532879200971
A17,0.361497185697692,0.35449776665165444,0.37041361617166546,0.3779151214188517,0.3907203989476238,0.38397009707392193,0.3680027031034498,0.3854778371976566,0.38069803113865697,0.37314262200716786,0.3714029112309855
A18,0.24155969031616864,0.21283360305443402,0.21990822704682542,0.23913416409358657,0.23681804657581065,0.2311740421872133,0.2076824905889658,0.21432244865725963,0.179976138778527,0.17284939977507788,0.17889695416698925
A19,0.42888214052530105,0.42194680991344663,0.39569147220284046,0.3946426099047108,0.3836338597988545,0.3655012587089287,0.37060401327766984,0.35339975040085053,0.31814276642586803,0.32925794821504517,0.32919352731845025
A20,0.1081213014379758,0.1394393769681047,0.14001001158969792,0.13972679426435583,0.13774832384214566,0.16888254853148865,0.20695303648499264,0.20960318839983186,0.21306031931201586,0.20945547932025751,0.20639653407769704
A21,0.3046428231178136,0.3168303583890537,0.30167858856100954,0.29575593454232824,0.2739506889226416,0.25363038648417296,0.25350874807951174,0.24963710297329947,0.24123601229286368,0.26083850543916337,0.2598714668616465
A22,0.6998261633721043,0.6657657080567865,0.6556701307396706,0.6568652279212281,0.6606505096905414,0.6579677225891674,0.6636608745485941,0.6804408490183242,0.655461759073748,0.6805844349549666,0.6762648947680155
A23,0.2610123364801865,0.26214239761462393,0.24987868153342765,0.251379266875666,0.23820598273536078,0.23645574153770432,0.223340768952558,0.22111126161103833,0.23590306995069096,0.24646017540863863,0.23940005092914113
A24,0.3540982709912031,0.2924289931295617,0.2806057231084701,0.2882607614360144,0.3083363021447334,0.31749125232836106,0.3147674382775605,0.3022655101278359,0.28809677695196034,0.2857464024564632,0.2826664168970992
A25,0.25420208410326367,0.28079300778569716,0.27633157083395504,0.287143456399001,0.28088844759884996,0.277812050290435,0.2685464732789642,0.27318885809206067,0.25707474718350376,0.2613019937004892,0.24329220156597994
A26,0.26116218364276167,0.2750992001731501,0.2624285324916571,0.2595686264479449,0.2543943688337741,0.2574603703685695,0.24743555610853457,0.2401580450722782,0.22462874863154805,0.250231173296779,0.2476550753821674
A27,0.35095235102101396,0.34610464026122,0.34066877873885615,0.35779500197392433,0.3439892202810178,0.3384583455963782,0.3163430516170231,0.31427057332082253,0.296643083835019,0.30979532436799406,0.3075676567976115
A28,0.32559429594789535,0.2860069418256777,0.27496338620765864,0.2857136939329102,0.27704432988373656,0.26363464210721654,0.2815462582648671,0.2715131861806377,0.2535523329485471,0.2639307235263155,0.2435892662903762
A29,0.6101407082393276,0.6233216905931505,0.6223530993145006,0.6338813534208093,0.6142811895381938,0.6232107742845931,0.5949029075199966,0.6063789049237281,0.5820065061333757,0.5978356642578783,0.5998268191958245
A30,0.3075322005118407,0.2996337083063832,0.26894766240497525,0.2703643388467817,0.27095444435162536,0.2753642954784734,0.29812080681835795,0.2839276135295791,0.2749906795324245,0.2892888860510464,0.2636012815048238
